Username,Comment
-,"Download the RealLife App where you can SPEAK and Live Your English in Real Life!
https://reallifeglobal.com/app/?utm_source=youtube&utm_medium=comment&utm_campaign=elonmusk"
@JaeseB,One of the best lessons on YouTube. You must continue this work.
@johnwestlizaire7623,"Thank you so much Thiago, Ethan, and others  for bringing to us this beautiful part of Joe Rogan's podcast"
@dawrantlepov6974,Hi guys. I got B2 level certificate 2 days ago i just kept watching your channel for improving listening and speaking skills i just wanna say thanks.Great channel Just gotta love this channel
@musssryn1059,"Terimakasih telah memberikan penjelasan yang lebih baik, untuk bisa lebih memperbanyak kosakata dalam pengucapan menggunakan bahasa inggris. "
@computerveis6388,"Create a whole playlist for interviews and podcasts like this one. they are awesome for learning because they have obvious, lovely and native talks. they maybe are better than movies if you ask me."
@roohital1074,"I thoroughly enjoyed this lesson, having continues smile on my face. 
thank u."
@johanmunoz11,"I love the way they teach the language since they do it in a fun and very entertaining way. 
I would love for you to make more podcast videos like the one from Christian Williamson and Huberman Labs."
@trueleo32,These are the best lessons  for listening practice you can find since you achieved an intermediate level. Thanks a lot for helping us to learn English
@line3238,"Thank you so much for your work. I've been subscribed to you for a few years, and every time I see one of your videos, I always learn new stuff ! I was wondering if maybe you could do a lesson about the Vampire Diaries (I think it's a good series and it has tons of vocabulary) ? It's just a suggestion."
@belarustomma,"Jeez, this video just unbelievable! Many new words, especially I remember one of the best word in the planet in my humble opinion, this is derogatory) After example on movie about Rocky, also is my one of favorite movie, I remember this word long time) I wanna would in next video about MMA FIGHTER INTERVIEW) For example may analytics Sean Strickland, Khabib Nurmagomedov or Israel Adesanya, I guess fighters pronunciation help more people learn English faster) Thanks a lot for another great lesson"
@joseangelpelaezsuarez5584,Eres una máquina !! si nos ponen estos videos en la escuela aprendes mas que con 16 años de educación
@namongoyeo225,Thanks so much. I learned new words today. The way you teach English is just amazing 
@ChrisJordan13,"As a coach in the game of basketball, i want more English lessons from interviews with great players or coaches! Thank you very much for your help!"
@MindTreeNexus,Thanks for bringing this beautiful episode to teach us new things in an advanced and easy way 
@user-dd5ux6zc3v,Thank you so much for your work! I'd like to suggest analyzing The Rookie TV Series.
@Felipelopesa,Thiago Thanks for the lesson today. You Rock.
@humayounkhan2532,"In this video, I learnt a new word ""Pejorative which means Derogatory""."
@knowledgehub1474,"It was a good one. I added many new words into my dictionary such as:
pejorative, arise, allocate ,compelling, along those lines. 
Thanks for helping out with my english."
@bajhangigammer6012,"firstly i would like to thank's for this vidoe  i am form nepal  
I want to improve my english with the help of such type of series or vidoes."
@Jatinsingh250,"Seriously, your videos come in immensely handy for me to learn more,even your explanation is so good in which you briefly describe every single thing all in all this video is so good,if you ask me"
@baraaa.mohammedalawadi6924,"Opera , Steve harvey 
  thank you for that great lesson"
@givanpontes,congratulations for the channel!!! The whole content and everything are just awesome...Thanks from Brazil!
@user-uv7su4dv4e,"""Concussion""not only  a amazing movie, but also was a real food for thought film, I also learn many American slang from this film ,and inspiration stories, which highly recommend to see"
@engrumarnsar,"Bundle of thanks dear. It is my first lesson and I directly subscribed your channel that I do less.....hahah. I wish, I could find your channel before, but I found it now that is pleasure to me. I will watch your lectures as much as I can. Thanks for your time."
@fhfryr2331,"I've been watching ur well-explained videos since the last year, as u're going further to the next level. I'd love to appreciate ur efforts guys for creating these lessons so that we learners would speak effortlessly 
."
@aldakhill.7274,Brilliant conversation
@David_Dreamer,Worth it 
@reemabdella4443,It would be better if you make podcasts like this in a playlist
@S9ELTC,"Excellent teaching method! I 
️ it."
@pavithranpopz1233,In This video I have learnt more thing from my past mistake ...which I have pronounced wrong word...Now I'm confidently able to Listening and pronounce ..this is a great video for who are not able to learn English they will listen  how to speak at a time and how to pronounced a word ..
@fabri7521,this lesson is perfect to improve my english thank you very much
@OT7-ARMY67,This is my first lesson and I enjoy it Thanks for the lesson
@user-ko4ew5yk3k,Thank you so much for this video l have been learning so much new vocabulary that doesnt know before
@pouriajalilian8557,"Dears, Thank you for your excellent channel. I love it. It's been a while since I am trying to learn German. Would you please introduce me to channels like yours to learn German? Many thanks."
@als663,I love this episode so much 
@guljahonusmonova3644,"Thanks for your dedication to my learning English,  It would be great if you could do with Leon"
@ounifieya3664,thank you 
@WanderlustWanderlust-dd7oi, thank you. From 🇭🇹 Haïti.
@southamericanmetalhead6307,"I liked the expression ""along those lines"" it sounds refined and easy to include in my speech.
Also I think that Elon musk speaking is a little tough to understand"
@juandavidfranco1744,"This is art fellows, I introduced myself in Business English English through this great class thankfully, you're great"
@raviranjankumar4065,"Thanks a lot ..love from india
️🇮🇳"
@mostafavii,You didn't talk about the last sentence (It's an attack factor). I didn't understand that. could you please clarify it?
@samuelbarretoT-T,This is the best channel for weather to learn English. Thank you very much.
@homamousavi213,Love Elon. Love this lesson. Thank you
@annaksenyk9334,Thank you!I like this lesson format
@alexsoethe8867,"Parabéns pelo canal, gostei bastante da forma que flui o video e as explicações. Tenho certeza que vou evoluir bastante aqui, novo inscrito."
@erkanotales3035,Thanks for video 
@aishaabdi7979,"Every new eposide i have fun for it.
Real life brighten me away to improve my english language and i`m doing well now, i have english routine process.

I`ll like to make more episode to the celebirites like; chris tucker ,kevin hurt and also tv shows like jimmy fallon"
@MirkamolMizrobov-gx7vf,In next videos I  hope you will  cover  some of the Andrew Hubermans podcast . Im really struggle to understand this
@SakshiKumari-bj8gd,Sir you are great teacher 
@tiagomarquesnogueira3406,Incredible interview... Thanks Learn English With TV Series channel!
@the_caret,Amazing Thiago! Da pra saber que vc eh brasileiro somente por causa da pronuncia do seu nome. Vou ver todos os episodios durante o trabalho!
-,very good guy
@abdiabdirisaq6076,Thanks
@a.dyslmsd9860,It's first video i watch of this chanel and it's great
@yasiralfaris1740,Thanks for your efforts 
@mdmasudrana-tz3vd,It's an amazing video. I learnt a lot of things and I'm hungry to learn more.
@moaazahmed7211,Are there channels  using the same technique but with Spanish or German
@AVsportss,"Me encantan los videos que le enseñan a uno a aprender ingles, pero primero tienes que aprender ingles para verlos, cracks "
@edivaldocanaltextual,"Great lesson! 
I would love if you publish an interview about literature."
@hilalerdal4274,OMG!!! I discovered this chanel right now and ı just watch this video and ı love it. You're a great teacher. ı love that your learning system. I will look your another videos. ı'm glad to discover your chanel. <3
@mika.n18,"Great lesson, thank you Thiago "
@vinisam9489,"O homem está muito estiloso, soo good bro"
@cheetah2882,I'd like a lesson on renewable energy and friendly life thanks ;)
@tirsonpenadelacruz8739,This video it's important for me.
@mateoalejandroguzmancalero3233,thank you so much for this
@Harshita-um8sf,Thankyou
@matheuspastana,Parabéns pelo canal!! 
@HichamEl-Azizi-zl1vr,Thank you.
@hopahope,"Thanks for the lesson. I have two suggestions: one is to make one lesson about an interview with Jeff Bezos, the arch rival of Musk. The second is to make a lesson of any of the interviews of Michael Jackson, I like your analysis of the cultural aspects of the American songs that incorporate the historical and psychological contexts and and things along those lines."
@AlaaHossam-xs2ly,"Hi, I admire your way for explaining words. 
Can you make a lesson for vampire diaries? I love it !"
@silviacantarella7908,"Hi, do you know when the course ""fluent with friends"" will start again? And is it free?"
@eliaszelelew,I loved your videos.
@metehan.48,Wonderful producer
@dulguunerdenekhuu7162,"I want you guys to make more lessons about Arnold (Actor, Bodybuilder, Governor of California and investor). Because he is really compelling for me. Please guys at least one more lesson about Arnold. Arnold."
@karzelsyifa,Thank you so much for your efforts making this lesson. This is my first time join in the apps and I enjoy the lesson. Thank you!
@rezwanamonisha835,"In this video, i learnt some new word and funny phrase, like when i will complement anyone i mean when i will tell them something negative way, i will use to this word pejorative way or derogatory way instead of negative way, really this word is amazing and sounds Pretty , and when i will debate anyone any interesting topic, i will use compelling argument instead of logical or interesting argument. 

Besides, i will use along those lines instead of things like that.

By the way, i'm greatful to you."
@user-mt7en5lv7i,Thank you very much!
@ui3418,I love these kinds of videos
@AbanOmer,I got a lot of benefits from this lesson
@user-vx6ns3dc2j,I am a big fan of your channel!
@user-iy6py6fr6l,"Great job,I like yours videos"
@erdiekici3237,"Great channel ,great lessons..."
@petercommandeur2211,obrigado amigo bom noite cara
@FlavioSouzaMentor,Excelente!!
@user-yk5vn1jq9v,Thaaankkkkkkk uuuuuuu 
@lucasmartins1726,Your content is perfect
@sanjanaakhileshsingh9742,Link for music plz which has been played in starting.
@Mohammed92mohamed,IAM learning from it
@anjalimoon1397,Hey... Hi i am preparing for PTE exam... Can you make lecture session related to vowel sounds pronunciation and academic words....
@socorroaguiar4255,Very good!
@studentsimplelife,great
@JChaima-xv9ld,Is it good to write the new vocabulary in my notebook or are the flashcards in the app enough?
@samueletardito,Spettacolare 
@user-di8oi9kz3t,"I translated ""pejorative"" and the meaning was totally different than you just described. ""Pejorative"" means when you make somone or something worth nothing basically insults him. 
In context when you comment to someone in a pejorative way you are insulting them and making them nothing."
@MindTreeNexus,"I would suggest to next lesson from ""Youth Club"" Podcast. Please"
@felipegaspio,Great video
@user-rb1gs4re1i,Good
@Faisal_ahmed1r,From this video I learnt a new word  pejorative which means derogatory
@gustavomonteiro2226,-
@ckghost5341,better than any skool education out there
@ych2tj,"I have a question, what does the ""Attack Factor"" mean?"
@user-id1yu9eb2w,This channel has videos of which type of accent ؟
@user-kw9hk4qr7l,I like that
@h2consultoriaquimica867,Where does Thiago come from?
@zinebmoukhlis8426,-
@webphame,"what does it mean "" In the first place "" in a communication with someone"
@user-tg8cv7cx6h,Peaky blinders please
@harktaiom3180,i don't understand what are they talking in this video but somewhere i can understand maybe i don't know these words in this vide.
@khoemseangva6684,-
@andreiro6325,"Oh my goodness , ehy Thiago which IPhone model did you read the comment of the day from "
@xDubaRx,"Despite what you think about Rocky's understandings about the word derogatory. I, on the other hand, think he does understand perfectly what it means. That's why he sarcastically says the camp is great. Because from his point of view, it was disrespectful to tell such lie."
@frzi3963,"I suggest ""terrifier 2"""
@videosladvd7823,Next time an interview of justin bieber
@Basketball-channel0,do it with lucyfier
@mohamedzaitouni-ek8vj,the best things you doing now
@user-rp4ql9yt9b,what english accent do they have?
@PedroFerroo,Do you are Brazilian?
@ukatinhodoacai,esse cara é br né?
@zeroualifatimazahra8715,"The strange thing is that I understand you very well, plus the presenter, unlike the guest. in addition that he speaks fastly his words aren't clear enough  or so it seemed to me.   why in ur opinion ?! Thanks for ur help."
@dawrantlepov6974,Hey
@MrSelfie-ev,Oho
@talhaazizakkus3156,App said to me error i did not create new account
@dineshpavi249,"Hey guys, i want to have a native english speaker friend to improve my english i am from India, does anyone willing to help me?"
@theinminhtwe2539,I can't hear the sound
@erikpalacios9869,"I think that would be interesting a lesson about a  RedPill podcast and all related vocabulary as Mgtow, Chad , Tyron, Simp, mangina, etc."
@maedehsh9277,Hi where is the videos of friends?
@AjaySivaram-by8vl,Elton musk and Elton John and the
@AdemY-ky4sk,go out a business =can we say get out a busness
@joviniciusjovc,"se o thiago não for brasileiro, i am a door :p"
@usefulness1,I started to teach english . I hope you 'll like my method of doing it .
@user-liberty2023,头痛，发晕
@lolakholmuradova1065,Pride and prejudice
@nonstop019,"Sorry team, I couldn't understand how this clip is apart of an episode on real  english app"
@Leonhard_Euler99,Looks like I wasn't here for a long time. What happened to Ethan?
@viniciusmarques156,"I watched this video for 10 minutes and I can understand practically 98% of this video, but there is a problem with all the words I don't know and I keep trying to translate or understand them, which is why it takes me a long time to finish a video in English and I end up giving up. finish the video because I want to understand all the words"
@Victaoarbr,Man I think you're brazilian or Am I getting highly wrong?
@solmariamarisol7866,"Esa App es muy complicada, la descargue y no hayo por donde empezar y que hacer. La elimine. Me quedo con  los Podcast."
@ap0999,1221
@lolakholmuradova1065,Pretty woman
@macaco_supremacy,se é brasileiro kkkk
@Spacecraft9996,Just deleted the app! Never download it again! Until the monitor be fair.
@juliaselcinskaite7027,"Oh no , not Musk, even for the purpose of the english lesson"
@Cjk1134,"I need someone for to pratice inglish with me, who wants to be pratice with me?"
@Faisal_ahmed1r,Go out of business
@youtuber890tggf,Because this chanel i can speak arabic language..
